scenario,eps,precision,recall,f1,mean_FP,mean_FN
coverage_t3,0.1,0.035+/-0.002,0.272+/-0.021,0.062+/-0.004,1924.4,185.8
coverage_t3,0.5,0.088+/-0.005,0.395+/-0.021,0.143+/-0.008,1050.4,154.4
coverage_t3,1.0,0.202+/-0.005,0.501+/-0.021,0.287+/-0.009,505.3,127.5
coverage_t3,2.0,0.577+/-0.012,0.644+/-0.020,0.608+/-0.013,120.4,90.9
coverage_t3,inf,1.000+/-0.000,1.000+/-0.000,1.000+/-0.000,0,0
