scenario,eps,precision,recall,f1,mean_FP,mean_FN
coverage_t3,0.1,0.037+/-0.001,0.555+/-0.023,0.070+/-0.003,3645.9,113.6
coverage_t3,0.5,0.089+/-0.003,0.629+/-0.021,0.156+/-0.004,1648.1,94.6
coverage_t3,1.0,0.225+/-0.006,0.712+/-0.015,0.342+/-0.008,627.1,73.5
coverage_t3,2.0,0.690+/-0.015,0.754+/-0.014,0.720+/-0.012,86.9,62.7
coverage_t3,inf,1.000+/-0.000,1.000+/-0.000,1.000+/-0.000,0,0
